name of the body ; position x ; position y ; position z
jupiter;4.54079;1.95575;1.95575
saturn;6.99202;5.98864;5.98864
uranus;14.0447;-14.1101;-14.1101
neptune;16.4428;-25.2425;-25.2425
sun;0.000582452;-0.00361719;-0.00361719
jupiter;4.52939;1.98237;1.98237
saturn;6.97766;6.00408;6.00408
uranus;14.0547;-14.1006;-14.1006
neptune;16.4524;-25.2361;-25.2361
sun;0.000596666;-0.00364769;-0.00364769
jupiter;4.51784;2.00892;2.00892
saturn;6.96327;6.01949;6.01949
uranus;14.0648;-14.0911;-14.0911
neptune;16.4619;-25.2297;-25.2297
sun;0.000611032;-0.00367811;-0.00367811
jupiter;4.50614;2.0354;2.0354
saturn;6.94884;6.03487;6.03487
uranus;14.0749;-14.0816;-14.0816
neptune;16.4714;-25.2234;-25.2234
sun;0.000625548;-0.00370847;-0.00370847
jupiter;4.49429;2.06182;2.06182
saturn;6.93437;6.05022;6.05022
uranus;14.0849;-14.0721;-14.0721
neptune;16.481;-25.217;-25.217
sun;0.000640214;-0.00373875;-0.00373875
jupiter;4.4823;2.08817;2.08817
saturn;6.91987;6.06553;6.06553
uranus;14.095;-14.0625;-14.0625
neptune;16.4905;-25.2106;-25.2106
sun;0.000655031;-0.00376896;-0.00376896
jupiter;4.47016;2.11446;2.11446
saturn;6.90534;6.08082;6.08082
uranus;14.105;-14.053;-14.053
neptune;16.5;-25.2043;-25.2043
sun;0.000669997;-0.0037991;-0.0037991
jupiter;4.45787;2.14067;2.14067
saturn;6.89077;6.09608;6.09608
uranus;14.115;-14.0435;-14.0435
neptune;16.5095;-25.1979;-25.1979
sun;0.000685112;-0.00382916;-0.00382916
jupiter;4.44544;2.16681;2.16681
saturn;6.87616;6.1113;6.1113
uranus;14.1251;-14.0339;-14.0339
neptune;16.519;-25.1915;-25.1915
sun;0.000700376;-0.00385915;-0.00385915
jupiter;4.43287;2.19289;2.19289
saturn;6.86152;6.12649;6.12649
uranus;14.1351;-14.0244;-14.0244
neptune;16.5286;-25.1851;-25.1851
sun;0.000715788;-0.00388905;-0.00388905
jupiter;4.42015;2.21889;2.21889
saturn;6.84685;6.14166;6.14166
uranus;14.1451;-14.0148;-14.0148
neptune;16.5381;-25.1787;-25.1787
sun;0.000731348;-0.00391889;-0.00391889
jupiter;4.40729;2.24482;2.24482
saturn;6.83214;6.15679;6.15679
uranus;14.1551;-14.0052;-14.0052
neptune;16.5476;-25.1723;-25.1723
sun;0.000747055;-0.00394864;-0.00394864
jupiter;4.39428;2.27068;2.27068
saturn;6.81739;6.17189;6.17189
uranus;14.1651;-13.9956;-13.9956
neptune;16.5571;-25.1659;-25.1659
sun;0.000762909;-0.00397831;-0.00397831
jupiter;4.38113;2.29646;2.29646
saturn;6.80261;6.18696;6.18696
uranus;14.1751;-13.986;-13.986
neptune;16.5666;-25.1595;-25.1595
sun;0.00077891;-0.0040079;-0.0040079
jupiter;4.36784;2.32217;2.32217
saturn;6.7878;6.20199;6.20199
uranus;14.1851;-13.9764;-13.9764
neptune;16.5761;-25.1531;-25.1531
sun;0.000795057;-0.00403742;-0.00403742
jupiter;4.3544;2.3478;2.3478
saturn;6.77295;6.217;6.217
uranus;14.1951;-13.9668;-13.9668
neptune;16.5856;-25.1467;-25.1467
sun;0.000811349;-0.00406685;-0.00406685
jupiter;4.34083;2.37335;2.37335
saturn;6.75807;6.23197;6.23197
uranus;14.205;-13.9572;-13.9572
neptune;16.5951;-25.1403;-25.1403
sun;0.000827787;-0.0040962;-0.0040962
jupiter;4.32711;2.39883;2.39883
saturn;6.74315;6.24692;6.24692
uranus;14.215;-13.9476;-13.9476
neptune;16.6046;-25.1339;-25.1339
sun;0.000844369;-0.00412546;-0.00412546
jupiter;4.31325;2.42423;2.42423
saturn;6.7282;6.26183;6.26183
uranus;14.225;-13.938;-13.938
neptune;16.6141;-25.1275;-25.1275
sun;0.000861095;-0.00415464;-0.00415464
jupiter;4.29925;2.44955;2.44955
saturn;6.71322;6.27671;6.27671
uranus;14.2349;-13.9284;-13.9284
neptune;16.6236;-25.1211;-25.1211
sun;0.000877965;-0.00418374;-0.00418374
jupiter;4.28512;2.47479;2.47479
saturn;6.6982;6.29155;6.29155
uranus;14.2448;-13.9187;-13.9187
neptune;16.6331;-25.1146;-25.1146
sun;0.000894979;-0.00421275;-0.00421275
jupiter;4.27084;2.49995;2.49995
saturn;6.68314;6.30637;6.30637
uranus;14.2548;-13.9091;-13.9091
neptune;16.6426;-25.1082;-25.1082
sun;0.000912135;-0.00424167;-0.00424167
jupiter;4.25642;2.52503;2.52503
saturn;6.66806;6.32115;6.32115
uranus;14.2647;-13.8994;-13.8994
